model,rate,seed,channel,mse,mae,nmse,skill,mode
LSTM,0.0,3,wind_u,1.9811664338333295,1.0736314795701263,0.5341875553882887,0.6772130851380208,irregular
LSTM,0.0,3,wind_v,2.0097697691537846,1.0261024940468582,0.4867166615609416,0.3592199335582631,irregular
Latent ODE,0.0,3,water_level,0.21397639735605706,0.3704644342675743,0.8352099436866917,0.38061913623628035,irregular
Latent ODE,0.0,3,air_temp,2.584906561137798,1.1351649042589027,0.30056491383322614,0.693927341929557,irregular
Latent ODE,0.0,3,water_temp,1.1044639089547041,0.7780892510122808,0.1531387845672601,1.119408804848487,irregular
Latent ODE,0.0,3,air_pressure,2.9258477382864228,1.27048031398915,0.2331731546252639,0.8364822490647015,irregular
Latent ODE,0.0,3,wind_u,2.144479378835479,1.1077789082060603,0.5782220904804067,0.7330376041885923,irregular
Latent ODE,0.0,3,wind_v,3.0943639364655735,1.3559389159355195,0.74937861436996,0.5530768870756131,irregular
Persistence,0.0,3,water_level,0.5621798196274215,0.5865985758571703,2.19434564416701,1.0,irregular
Persistence,0.0,3,air_temp,3.725039215128954,1.3286240086338146,0.4331360009499922,1.0,irregular
Persistence,0.0,3,water_temp,0.9866492957451719,0.6426157535336281,0.13680326964016296,1.0,irregular
Persistence,0.0,3,air_pressure,3.497800152433492,1.411351313487844,0.27875445639878493,1.0,irregular
Persistence,0.0,3,wind_u,2.9254698075267607,1.3006026699372983,0.7888027669746184,1.0,irregular
Persistence,0.0,3,wind_v,5.594816939154668,1.7128451721585212,1.354926651034524,1.0,irregular
LSTM,0.0,4,water_level,0.010610667335379607,0.08035060524693169,0.041416413105198766,0.018874151943788574,irregular
LSTM,0.0,4,air_temp,1.337818657793535,0.8249434194903342,0.15555740220923234,0.3591421675133216,irregular
LSTM,0.0,4,water_temp,0.6734606738259171,0.6052409471550683,0.09337828806117973,0.6825735109021515,irregular
LSTM,0.0,4,air_pressure,2.9285889469608244,1.2454365035411417,0.2333916131136303,0.8372659441172888,irregular
LSTM,0.0,4,wind_u,1.9811664338333295,1.0736314795701263,0.5341875553882887,0.6772130851380208,irregular
LSTM,0.0,4,wind_v,2.0097697691537846,1.0261024940468582,0.4867166615609416,0.3592199335582631,irregular
Latent ODE,0.0,4,water_level,0.21397639735605706,0.3704644342675743,0.8352099436866917,0.38061913623628035,irregular
Latent ODE,0.0,4,air_temp,2.584906561137798,1.1351649042589027,0.30056491383322614,0.693927341929557,irregular
Latent ODE,0.0,4,water_temp,1.1044639089547041,0.7780892510122808,0.1531387845672601,1.119408804848487,irregular
Latent ODE,0.0,4,air_pressure,2.9258477382864228,1.27048031398915,0.2331731546252639,0.8364822490647015,irregular
Latent ODE,0.0,4,wind_u,2.144479378835479,1.1077789082060603,0.5782220904804067,0.7330376041885923,irregular
Latent ODE,0.0,4,wind_v,3.0943639364655735,1.3559389159355195,0.74937861436996,0.5530768870756131,irregular
